Yeni Madde No,Yeni Madde İçeriği,Eşleşen Eski Madde,Benzerlik,Durum
MADDE 31,şube müdürlük birim büro tarafından yürütül ortak görev aşağı belirtil eğitim öğretim geliştir yönelik görev şunlar eğitim öğretim program uygulanma sağlamak ders kitap öğretim materyal eğitim araç gereç ilişkin işlem rütmek etkin kullanım sağlamak eğitim fırsat eşitlik sağlamak eğitim erişim teşvik edecek artır çalışma yapmak eğitim hizmet yürütülme verimlilik sağlamak eğitim kurum öğrenci kursiyer yönelik araştır geliştir saha çalışma yapmak nisan 2025 sayı 32882 resm gazete sayfa eğitim moral ortam okul kurum kültür öğren süreç geliştirmek eğitim ilişkin proje geliştirmek uygulamak sonuç yararlanmak ulusal uluslararası araştır proje takip etmek sonuç yararlan mak kamu özel sektör eğitim paydaş birlik içinde gerekli işlem yürütmek eğitim hizmet geliştirilme amaç bakanlık teklif bulunmak etkili öğrenci kursiyer merkezli eğitim geliştirmek iyi uygulama teşvik etmek destekle yetiştir kurs işlem takip etmek salgın olağanüstü durum zaruri llerde ilgili mevzuat hüküm kap mında gerekli tedbir alarak eğitim öğretim hizmet devamlılık sağlamak eğitim kurum yönelik görev şunlar eğitim kurum bina eklenti derslik ihtiyaç tespit etmek fiziki nları geliştir yönelik çalışma yapmak eğitim kurum aç kapat isim verilme ilişkin işlem rütmek öğrenci pansiyon hizmet sunulan eğitim kurum pansiyon hizmet geliştirilme yönelik çalışma yapmak hizmet yürütülme sağlamak eğitim kurum arası birlik sağlamak eğitim kurum idari kapasite yönetim kalite geliştirilme sağlamak eğitim kurum hizmet verimlilik donatım standart uygulamak yerel ihtiyaç göre belirlenen çerçeve standart geliştirmek uygulamak eğitim kurum iyi uygula örnek teşvik etmek yaygınlaşma sağ lamak eğitim kurum arası imk fırsat eşitlik sağla yönelik tedbir mak belirli gün hafta ilgili kutla an program hazırlanma gulanmasını sağlamak öğrenci veli diğer taraf eğitim destek sağlayıcı faaliyet yap mak öğrenci yönelik görev şunlar rehberlik psikolojik danış hizmet yönelt çalışma planlamak yürütülme sağlamak bireysel izle değerlendir yöntem öğrenci yönlendirilme nelik rehberlik çalışma yapılma sağlamak öğrenci eğitim kurum aidiyet duygu geliştir yönelik çalışma yapmak yaptırmak sonuç raporlaştırmak öğrenci kayıt kabul nakil kontenjan ödül disiplin başarı değerlendir işlem yürütülme sağlamak öğrenci devamsızlık okul terk azaltıcı çalışma yapmak öğrenci yatılılık bursluluk ilgili işlem yürütmek öğrenci ulusal uluslararası sosyal kültürel sportif etkinlik yarış malara ilişkin işlem ilgili mevzuat hüküm kapsam yürütmek öğrenci okul başarı artır çalışma yapmak yaptırmak öğrenci eğitim sistem içinde kalma sağla tedbir almak yurt dış eğitim alan öğrenci ilgili işlem yürütmek sayfa resm gazete nisan 2025 sayı 32882 öğrenci okul dış etkinlik ilişkin çalışma yapmak yaptırmak sporcu öğrenci yönelik hizmet planlamak yürütülme sağlamak okul sağlık afet acil durum çevre atık yönetim ilişkin hizmet rütülmesinde gerekli destek sağlamak eğitim tedbir karar alınan çocuk eğitim süreç ilgili işlem rütmek öğrenci taşı uygulama kapsam öğrenci eğitim erişim rekli destek sağlamak mevsimlik tarım işçi göç yarı göç aile çocuk eğitim eri şimine yönelik çalışma yapmak tam zamanlı kaynaştır bütünleştir yoluyla eğitim uygulama destek eğitim oda özel eğitim sınıf sürdürülen eğitim hizmet yürütülme sağ lamak zleme değerlendir raporla yönelik görev şunlar eğitim kurum yönetici performans izlemek değerlendirmek eğitim öğretim program uygulanma izlemek değerlendirmek öğrenci kursiyer kayıt nakil devam başarı durum izlemek ğerlendirmek devamsızlık okul terki risk altın öğrenci ilişkin incele araştırma yapmak izlemek değerlendirmek uzaktan eğitim platform yapılan eğitim öğretim faaliyet izlemek ğerlendirmek öğrenci kursiyer temel beceri akademik başarı izlemek ğerlendirmek eğitim öğretim hizmet ilişkin istatistiki veri oluşturmak izlemek değer lendirmek okul kurum fiziki yeterlilik izlemek değerlendirmek okul kurum elektronik sistem veri güncel doğru olma sağlamak zleme değerlendir faaliyet sonuç raporla işlem yürütmek bakanlık göndermek birinci fıkra görev gerektiğinde şube birim büro arası koordinasyon kurularak yürütülebil ilçe personel görev bölüm,MADDE 1,0.092,Yeni Madde
MADDE 32,mill eğitim müdür bakanlık eğitim politika stratejik plan larını mevzuat program doğrultu yönetmek yönlendirmek denetlemek koordine ederek etkin verimli bir şekil yerine getirmek görevli sorumlu mill eğitim dürü görev ilçe yönetici arası yapacak bölüm çerçeve yürüt lgili mevzuat bakanlık belirlenen usul esas çerçeve hizmet etkin verimli olarak yürütülme sağlamak amaç personel görev yetki sorumluluk mill eğitim müdür tarafından belirlen mill eğitim müdür sağlık güvenlik hizmet yürütülme işveren olarak sorumlu mill eğitim müdür işveren vekil olarak mill eğitim müdür yardım cıs ilçe mill eğitim müdür işveren vekil olarak ilçe mill eğitim şube müdür görev lendirir şveren işveren vekil sağlık güvenlik hizmet sevk idare eder hizmet lerin yerine getirilme gerekli tedbir alınma sağ nisan 2025 sayı 32882 resm gazete sayfa mill eğitim müdür yardımcı sorumluluk verilen görev yapmak mill eğitim müdürlük adına toplantı katılmak yazışma belge mill eğitim müdür adına imza yetki kapsam imzalamak mill eğitim müdür vek let etmek görevli sorumlu şube müdür sorumluluk verilen hizmet yürütmek mill eğitim müdürlük adına toplantı katılmak uhde şube ilgili yazışma belge mill eğitim müdür adına imza yetki kapsam imzalamak ilçe mill eğitim müdür vek let etmek görevli sorumlu tesis müdür tesis ilgili mill eğitim müdür verecek görev ilgili mev zuat hüküm kapsam yürüt birim sevk idare yetkilendirilen sorumluluk verilen hizmet yürütmek hizmet ilişkin konu mill eğitim müdür adına toplantı katılmak imza yetki kapsam yazışma imzalamak görevli sorumlu şef personel arası koordinasyon sağlayarak şube müdürlük birim işlem etkin verimli şekil yürütmek görevli sorumlu mill eğitim müdürlük görev yapan diğer personel kendi verilen görev lerin mevzuat uygun olarak hızlı etkin verimli bir şekil yürütülme amir karşı sorumlu şube müdürlük birim büro yönetmelik uhde verilen görev lerin yanında mill eğitim müdür tarafından verilen diğer görev yapmak sorumlu üçüncü bölüm kurul komisyon görev kurul,MADDE 21,0.082,Yeni Madde
MADDE 33,mill eğitim müdürlük 2021 tarihli 3935 sayılı cum hurbaşkanı karar yürürlük konulan devlet memur disiplin yönetmelik hüküm göre mill eğitim disiplin kurulu oluşturul mill eğitim müdürlük elli fazla çalışan bulunma hali 2013 tarihli 28532 sayılı resm gazete yayımlanan sağlık güvenlik kurul hakkında yönetmelik hüküm göre sağlık güvenlik kurulu oluşturul ilçe mill eğitim komisyon,MADDE 1,0.127,Yeni Madde
MADDE 34,mill eğitim komisyon mill eğitim müdür başkanlık eğitim müfettiş başkan mill eğitim müdür görevlendiril bir mill eğitim dür yardımcı bir şube müdür merkezî bulunan fazla öğrenci olan okul önce ilkokul ortaokul ortaöğretim hayat boy öğren eğitim kurum müdür bun ların öğretmen kurulu seçil birer öğretmen rehberlik araştır merkezî müdür köy kırsal mahalle çalışan öğretmen fazla öğrenci olan özel okul önce özel ilkokul özel ortaokul özel ortaöğretim kurum müdür bunlar öğretmen rulunca seçil birer öğretmen il faaliyet gösteren mill eğitim müdür belirlen diğer özel öğretim kurum öğrenci kursiyer fazla olan iki farklı kurum tür müdür oluş seçim belirlenen üye öğretim yıl eylül ayın belirlen üyelik son eren yeni üye seçilince kadar görev devam eder mill eğitim komisyon görev şunlar mill eğitim müdürlük alınan karar doğrultu somut uygulanabil eğitim öğretim faaliyet plan öneri bulun lçe mill eğitim komisyon alınan karar yapılan öneri uygun görülen lerin düzey uygulanma sağ sayfa resm gazete nisan 2025 sayı 32882 bakanlık mill eğitim müdür münhasıran birim birlik incelenme istenen konu çalışma yap uygula esas politika geliştir rarlar al lçe mill eğitim komisyon ilçe mill eğitim müdür başkanlık ilçe mill eğitim müdür görevlendiril bir şube müdür fazla öğrenci olan okul önce ilkokul ortaokul ortaöğretim hayat boy öğren eğitim kurum müdür bun ların öğretmen kurulu seçil birer öğretmen rehberlik araştır merkezî müdür köy kırsal mahalle çalışan öğretmen fazla öğrenci olan özel okul önce özel ilkokul özel ortaokul özel ortaöğretim kurum müdür bunlar öğretmen rulunca seçil birer öğretmen ilçe faaliyet gösteren ilçe mill eğitim müdür belirle necek diğer özel öğretim kurum öğrenci kursiyer fazla olan iki farklı kurum rünün müdür oluş lçe mill eğitim komisyon görev şunlar mill eğitim müdürlük alınan gerek bildirilen karar hakkında mut uygulanabil program hazır öneri bulun bakanlık mill eğitim müdür ilçe mill eğitim müdür münhasıran birim birlik içinde incelenme istedik konu çalışma yap uygula esas politika geliştir karar al komisyon ilçe mill eğitim müdür çağrı üzerine öğretim yıl baş diğeri öğretim yıl sonunda olmak üzere iki üye tam sayı çoğunluk toplan çokluk karar al komisyon toplantı gündem ilçe mill eğitim müdür tespit edil toplantı günü gün ön üye gönderil lde vali ilçe kay makam görüşülme istedik konu süre içinde komisyon gündem ilave edil komisyon karar ilgili mevzuat hüküm kapsam uygulanabil olan mill eğitim müdür teklif vali onay üzerine uygula konul mevzuat değişiklik yapılma gerektiren konu bakanlık ilgili birim bildiril komisyon üye birim personel çalış grup oluşturabil çalışma birim türlü bilgi belge isteyebil birim komisyon verdik görev gecikmeksizin yerine getirmek zorun dördüncü bölüm çeşitli son hüküm özel büro,MADDE 1,0.116,Yeni Madde
MADDE 35,mill eğitim müdür tarafından yürütülen hizmet koordinas yonunu sağlamak üzere doğrudan mill eğitim müdür bağlı yeterli sayı personel ol şan özel büro oluşturulabil özel büro görev şunlar mill eğitim müdür çalış takvim talimat doğrultu oluşturmak mill eğitim müdür toplantı ziyaret ilgili planlama yaparak gerekli işlem yürütülme sağlamak mill eğitim müdür sekretarya hizmet yürütmek yürürlük kaldırılan yönetmelik,MADDE 21,0.086,Yeni Madde
MADDE 36,2012 tarihli 28471 sayılı resm gazete yayımlanan mill eğitim bakanlık lçe mill eğitim müdürlük yönetmelik yürürlük kaldırıl kurul komisyon üye geç,MADDE 1,0.167,Yeni Madde
MADDE 1,yönetmelik belirtilen kurul komisyon mevcut üye yeni üye görev başlayınca kadar görev devam eder yürürlük,MADDE 4,0.106,Yeni Madde
MADDE 37,yönetmelik yayım tarihî yürürlük gir yürüt,MADDE 4,0.931,Benzer
MADDE 38,yönetmelik hüküm mill eğitim bakan yürüt nisan 2025 sayı 32882 resm gazete sayfa sağlık bakanlık uluslararasi sağlik turi zmi turi sti sağliği hakkinda yönet nci bölüm başlangıç hüküm amaç,MADDE 5,0.181,Yeni Madde
MADDE 1,yönetmelik amaç uluslararası sağlık turizm turist sağlık kapsam sunulan sağlık hizmet aracılık hizmet asgari hizmet sunum standart larının belirlenme uluslararası sağlık turizm hizmet faaliyet yürüt sağlık kuru luşları aracı kuruluş yetkilendirilme faaliyet denetlenme ilişkin usul esas düzenlemek kapsam,MADDE 2,0.054,Yeni Madde
MADDE 2,yönetmelik 2006 tarihli 5510 sayılı sosyal sigorta genel sağlık sigorta kanun milletlerarası ikili mütekabiliyet anlaşma kapsam gir meyen ancak yurt dış sağlık hizmet almak amaç ülke gelen turist olarak ülke bulunduk sıra sağlık hizmet ihtiyaç ortay çıkan kişi kişi sağlık hizmet suna kamu kurum kuruluş üniversite özel sağlık kuruluş aracı kuru luşları kapsa aşağı durum yönetmelik kapsam yer al savaş afet benzeri olağanüstü durum cumhurbaşkanı karar belirlenen ülke Türkiye bulunduk süre sağlık hizmet alan ülke sivil toplum kuruluş tarafından tedavi amaç getirilerek tedavi bedel ödenen yabancı hasta yara lılar bakanlık Türk şbirliği koordinasyon ajans başkanlık yurtdışı Türk akraba topluluk başkanlık tarafından uygun görülen sivil toplum kuruluş aracılığıyla balkan Türk cumhuriyet ülke tedavi amaçlı getirilen hasta Türk şbirliği koordinasyon ajans başkanlık tarafından getirilen hasta Türkiye cumhuriyet nin imzala olduk uluslararası anlaş uyarınca sosyal venlik sözleşme kapsam sağlık yardım al hak olan ülke vatandaş Türkiye cumhuriyet vatandaş ülke sağlık alan milletlerarası ikili işbirlik anlaşma kapsam tedavi gelen ülke öğrenim görmek öğrenci ikamet izin alan bunlar eğitim süresince bakmak yükümlü olduk yakın aile ikamet izin alan geçici koru altın yabancı uluslararası koru statü alan vatansız kişi statü olan 2009 tarihli 5901 sayılı Türk vatandaşlık kanun inci üncü madde kapsam bulunan Türk soylu olduk dair belge ibraz ede Türk soylu yabancı adli vaka kapsam kolluk kuvvet getirilerek acil sağlık hizmet alan bancı kinci fıkra yer alan kişi kendi istek uluslararası sağlık turizm kapsam ücret ödeme taahhüt etme durum yönetmelik kapsam uluslararası sağlık turizm hizmet alabil dayanak,MADDE 1,0.093,Yeni Madde
MADDE 3,yönetmelik 1987 tarihli 3359 sayılı sağlık hizmet temel kanun uncu madde bent inci uncu madde 2011 tarihli 663 sayılı sağlık alan düzenleme hakkında kanun hüküm karar name nci madde sayılı cumhurbaşkanlığı teşkilat hakkında cumhurbaşkan lığ kararname 355 inci 508 inci madde dayanılarak hazırlan sayfa resm gazete nisan 2025 sayı 32882 tanım,MADDE 2,0.284,Yeni Madde
MADDE 4,yönetmelik geçen aracı kuruluş uluslararası sağlık turist beraberinde refakatçi diğer yak larına uluslararası sağlık turizm hizmet kapsam danışmanlık yapan sağlık tesis org nizasyonu konakla ulaşım transfer hizmet sağlanma faaliyet yürüten yetki belgeli tüzel kişi işletilen kuruluş bakanlık sağlık bakanlık ek sağlık bakanlık entegre kurumsal şlem platform healthtürkiye Türkiye nin sağlık hizmet sunum uluslararası alan tanıtım sağlayan sağlık turizm marka portal bakanlık uluslararası sağlık turizm faaliyet kayıt takip denetim gözetim amaç healthtürkiye ad kurul internet portalını sağlık tesis özel mevzuat uyarınca sağlık tesis ruhsat sahip olan bakanlık yetki belge verilen kamu kurum kuruluş üniversite gerçek özel hukuk tüzel kişi ait sağlık tesis sertifika tüska tarafından sağlık turizm alan oluşturulan standart esas al narak bakanlık düzenlenen belge turist sağlık ülke herhangi bir neden geçici süreli olarak bulunan yaban cıların ülke bulunduk sıra ani gelişen hastalık acil durum sağlık hiz met alma tüska Türkiye sağlık hizmet kalite akreditasyon enstitü uluslararası sağlık turist uluslararası sağlık turizm turist sağlık kapsam sağlık hizmet alan gerçek kişi uluslararası sağlık turizm sağlık amaçlı yurt dış ülke geçici bir sürelik gelen Türkiye cumhuriyet vatandaş olmayan Türkiye cumhuriyet vatandaş olmak birlikte yurt dış ikamet ede gerçek kişi aldık türlü sağlık hizmet aracılık hizmet ushaş uluslararası sağlık hizmet anonim şirket yabancı Türkiye cumhuriyet devlet vatandaşlık bağı bulunmayan kişi yetki belge uluslararası sağlık turizm yetki belge ifade eder nci bölüm uluslararası sağlık turizm yetki belge,MADDE 1,0.071,Yeni Madde
MADDE 5,sağlık tesis aracı kuruluş uluslararası sağlık turizm hizmet rint faaliyet yürütebilme yetki belge alma zorunlu yetki belge sağlık tesis bakanlık aracı kuruluş ushaş tarafından düzenlen sağlık tesis yetki belge başvuru yer alan başvuru evrak birlikte ek üzerinde yapıl ilçe sağlık müdürlük tarafından başvuru üzerine aşağı işlem gerçekleştiril başvuru evrak incelen incele sonuç başvuru evrak eksiklik kriter uygunsuzluk tespit edilme linde günü içinde başvurucu bildiril başvuru evrak eksiklik uygunsuzluk bulunduk bildirilen başvurucu günü içinde eksiklik tamamlayamama hali başvuru reddedil sayıl başvuru evrak eksiklik kriter uygunsuzluk bulunmadık anlaşılan başvurucu ilçe sağlık müdürlük oluşturulan incele ekip tarafından yerinde incelen yerinde incele netice uygunluk karar verilen başvuru günü içinde bakanlık gönderil bakanlık tarafından uygun görülme hali günü içinde bulunan yetki belge düzenlen aracı kuruluş yetki belge başvuru yer alan başvuru evrak birlikte ushaş yapıl ushaş tarafından başvuru üzerine aşağı işlem gerçekleş rilir nisan 2025 sayı 32882 resm gazete sayfa başvuru evrak incelen incele sonuç başvuru evrak eksiklik kriter uygunsuzluk tespit edilme linde günü içinde başvurucu bildiril başvuru evrak eksiklik uygunsuzluk bulunduk bildirilen başvurucu günü içinde eksiklik tamamlayamama hali başvuru reddedil sayıl başvuru evrak eksiklik kriter uygunsuzluk bulunmadık anlaşılan başvurucu ushaş tarafından oluşturulan incele ekip tarafından yerinde incelen yerinde incele netice ushaş tarafından uygun görülme hali günü içinde bulunan yetki belge düzenlen aracı kuruluş sahip tüzel kişi tarafından ikinci bir aracı kuruluş şube açılmak istenme durum bir aracı kuruluş şube yeni yetki belge alınma zorun ludur şekil yetkilendirilmeyen ikinci bir aracı kuruluş şube sağlık turizm faali yetleri yürütül uluslararası sağlık turizm yetki belge devredil hizmet standart,MADDE 1,0.11,Yeni Madde
MADDE 6,sağlık tesis aşağı belirlenen hizmet standart uygun olarak faa liyet göster sağlık tesis yönetmelik hüküm uygun olarak teşhis tedavi rehabilite edici sağlık hizmet geleneksel tamamlayıcı tıp uygulama hizmet ver hastane tıp merkez tıbbi laboratuvar diyaliz merkez tüska raf akredite edil olma bunlar dış sağlık tesis bakanlık düzen lenen sertifika alma zorunlu uluslararası sağlık turizm kapsam ameliyathane ortam yapıl cerrahi girişimsel işlem sağlık tesis tarafından komplikasyon sigorta yaptırılma zorun ludur sağlık tesis aracı kuruluş vasıta olmaksızın doğrudan başvuran uluslararası sağlık turist kabul edebil sağlık tesis 2022 tarihli 31746 sayılı resm gazete yayımlanan uzaktan sağlık hizmet sunum hakkında yönetmelik kapsam uzaktan sağlık hizmet vere bilir durum portal üzerinde ilan eder sağlık tesis aracı kuruluş yerine getirilme gereken faaliyet yetki belge olmayan kişi kuruluş hizmet al aracı kuruluş aşağı belirlenen hizmet standart uygun olarak faaliyet göste rir aracı kuruluş konakla ulaşım transfer hizmet 1972 tarihli 1618 sayılı seyahat acentaları seyahat acentaları birlik kanun kapsam yetkili seyahat acentaları vasıtasıyla yerine getirme zorunlu hizmet aracı kuruluş yetkili seyahat acentası olma hali aracı kuruluş tarafından bizzat yürütülebil aracı kuruluş gelen çağrı karşılamak amaç iki yabancı dil gün saat esas uygun olarak hizmet verebil bir alt yapı sahip olmak alt yapı sağlayabil bir çağrı merkezî hizmet alım sözleşme yapmak zorun uluslararası sağlık turizm hizmet görevlendirilen personel aynı ant iki fazla aracı kuruluş çalış uluslararası sağlık turist ülke bulunduk süre içinde alacak sağlık hizmet aracılık hizmet sağlık tesis aracı kuruluş sunulan hizmet tür bağlı olarak sorumlu sunulan sağlık hizmet sonra ortay çıkabil komplikasyon tıbbi kötü gulamalar sorumluluk kapsam sağlık tesis aracı kuruluş sağlık turizm alan yapılan şikâyet ğerlendirilmesi suretiyle düzeltici önleyici faaliyet yap gerekli iyileştir faaliyet yerine getir sayfa resm gazete nisan 2025 sayı 32882 ushaş uluslararası sağlık turizm alan hizmet vermek olan sağlık tesis aracı kuruluş tanıtım bilgilendir faaliyet healthtürkiye marka destek ulusal uluslararası kongre seminer benzeri etkinlik sağlık tesis aracı kuruluş katılım rehberlik eder uluslararası sağlık turizm birim,MADDE 1,0.079,Yeni Madde
MADDE 7,sağlık tesis uluslararası sağlık turist kabul kayıt teşhis tedavi faturalandır taburculuk tercümanlık aracı kuruluş ilgili işlem koordinasyon benzeri hizmet yerine getirmek görevli uluslararası sağlık turizm birim oluşturul uluslararası sağlık turizm birim çalışan personel biri yabancı dil bilme bun belgelendirilme zorunlu uluslararası sağlık turizm birim çalışan personel bilgi ek üzerinde ilçe sağlık müdürlük bildirilme zorunlu sağlık tesis başvuran uluslararası sağlık turist uluslararası sağlık turizm birim çalışan bir personel sorumlu personel olarak belirlen uluslararası sağlık turist belirlen sorumlu personel bilgi portala kaydedil uluslararası sağlık turizm birim turist sağlık kapsam bulunan kişi milletlerarası sosyal güvenlik sözleşme sağlık alan milletlerarası ikili birlik laşmaları gerek sağlık hizmet almak ülke gelen kişi yönlendir rehberlik hizmet sunul kayıt bildirim,MADDE 1,0.035,Yeni Madde
MADDE 8,sağlık tesis tarafından yönetmelik kapsam verilen sağlık hiz met ilgili veri kaydedilme arşivlenme husus bakanlık kayıt tescil sistem kayıtlı bir sağlık bilgi yönetim sistem kullanılma zorunlu sağlık tesis tarafından kayıt altın alınan kişisel sağlık veri 2016 tarihli 6698 sayılı kişisel veri korunma kanun 3359 sayılı kanun uncu madde hüküm uygun bir şekil işlen bakanlık belirlenen usul esas uygun bir kil merkezî sağlık veri sistem aktarıl sağlık tesis aracı kuruluş bakanlık istenen bilgi belge göndermek yükümlü sağlık tesis aracı kuruluş portala üye olmak veri giriş tam doğru güncel yapmak zorun sağlık tesis aracı kuruluş sağlık turizm amaç yurt içinde yurt dış oluşturacak hizmet birim portal üzerinde bildir sorumlu personel olmak üzere uluslararası sağlık turizm hizmet görevlendirilen personel aracı kuruluş tarafından portala kaydedil performans kriter değerlendir,MADDE 1,0.085,Yeni Madde
MADDE 9,sağlık tesis aracı kuruluş yer alan performans kriter doğrultu ushaş tarafından yıl bir değerlendiril yapılan değerlendir netice sağlık tesis aracı kuruluş yeterlilik portal üzerinde ilgili bildiril performans kriter bakımından kısmen yeterli yetersiz olarak değerlendiri len sağlık tesis aracı kuruluş tespit tarihî itibaren içinde kontrol değerlendir sine tabi tutul kontrol değerlendirme sonuç yeterlilik sağlanamadık tespit linde kısmen yeterlilik hali yetersizlik hali altı süre yetki belge askı alın yetki belge askı alınan sağlık tesis aracı ruluşlar askı süre son erme itibaren içinde ikinci kontrol değerlendirme tabi tutul kinci kontrol değerlendirme sonuç yeterlilik sağlanamadık tespit linde yetki belge iptal edil nisan 2025 sayı 32882 resm gazete sayfa üçüncü bölüm turist sağlık turist sağlık kapsam hizmet,MADDE 1,0.088,Yeni Madde
MADDE 10,ülke toplantı kongre ticari turizm amaçlı süreli olarak kalan yabancı ülke bulunduk sıra gelişen hastalık acil durum kamu kurum kuruluş üniversite özel sağlık kuruluş sunulan sağlık hiz met yararlanabil ani gelişen hastalık acil durum sonra devam nitelik dek sağlık hizmet yetki belge bulunmayan sağlık tesis sunula acil sağlık hizmet acil hasta nakil ücret karşılık sunul acil sağlık hizmet almak sağlık tesis başvuru yapan yabancı hasta kabul edilme gerekli tıbbi müdahale kayıtsız şartsız gecikmeksizin yapılma zorunlu hizmet bedel tahsil ilgili işlem acil müdahale bakım sağlandık sonra yapıl trafik kaza sonuç veril sağlık hizmet bedel Türk vatandaş yabancı uyruklu kişi uyruk sosyal güvence olup olmadık bakılmaksızın ilgili mevzuat gerek sosyal güvenlik kurum tahsil edil trafik kaza kişi bizzat kendi tedavi bedel talep edil ancak trafik kaza nedeniyle acil sağlık hiz met alan kişi istek bağlı ilave seyahat sigorta var sigorta fatura edilerek poliçe kapsam öde tahsil edil dördüncü bölüm fiyatlandır fatura şlemleri tanıtım bilgilendir fiyatlandır,MADDE 1,0.076,Yeni Madde
MADDE 11,uluslararası sağlık turizm kapsam sunulan sağlık hizmet deli bakanlık belirlen sağlık tesis bakanlık belirlenen sağlık turizm fiyat tarife belirlenen usul esas uymak yükümlü fatura düzenlenme veril belge,MADDE 1,0.043,Yeni Madde
MADDE 12,sağlık tesis tarafından sağlık turizm kapsam hizmet alan ilgili mevzuat göre satış fiş fatura düzenlenme zorunlu satış fiş fatura ekin hasta sunulan sağlık hizmet ayrıntılı döküm birim fiyat gösteren belge düzenlen ayrı hizmet alan kişi tarafından istenildiğinde aşağı belirtilen belge ücretsiz olarak verilme zorunlu sağlık tesis tarafından sağlık tesis kullanılıp bedel hasta alınan ilaç sarf malzeme tür miktar gösteren liste adli vaka ilişkin olan asıl verilmemek kayıt sağlık tesis şarıda yapılan bedel hasta tarafından ödenen laboratuvar tetkik tahlil sonuç rad yolojik görüntü dışarı satı alınan ilaç malzeme reçete aracı kuruluş tarafından uluslararası sağlık turist beraberinde refakatçi diğer yakın sunulan konakla ulaşım transfer tercümanlık danışmanlık hizmet talep edilen ret ayrıntılı döküm tanıtım bilgilendir,MADDE 1,0.083,Yeni Madde
MADDE 13,sağlık tesis aracı kuruluş 2023 tarihli 32263 sayılı resm gazete yayımlanan sağlık hizmet tanıtım bilgilendir faaliyet hak kın yönetmelik hüküm uygulan sağlık tesis aracı kuruluş yabancı dil seçenek bulunan internet site oluşturulma zorunlu nternet site yer alan kuruluş isim unvan sağlık tesis aracı kuruluş yetki belge unvan sahiplik ad uyumlu olmak zorun sağlık tesis yönetmelik kapsam al olduk akreditasyon belge sertifika internet site yayınlamak zorun sayfa resm gazete nisan 2025 sayı 32882 beş nci bölüm çeşitli son hüküm eğitim,MADDE 5,0.077,Yeni Madde
MADDE 14,uluslararası sağlık turizm alan gerçekleştiril sertifikalı eği tim 2014 tarihli 28903 sayılı resm gazete yayımlanan sağlık bakanlık sertifi kal eğitim yönetmelik kapsam bakanlık eğitim vermek üzere yetkilendiril mer kez tarafından veril denetim,MADDE 1,0.117,Yeni Madde
MADDE 15,sağlık tesis aracı kuruluş 2023 tarihli 32372 sayılı resm gazete yayımlanan özel sağlık tesis denetim hakkında yönetmelik hüküm uygun olarak yer alan denetim sorgu idari yapt form belirtilen kriter göre denetlen yönetmelik belirtilen usul esas uymadık sağlık turizm faaliyet durdurulan yetki belge askı alınan iptal edilen sağlık tesis aracı kuruluş ticaret bakanlık kültür turizm bakanlık bakanlık bildiril aracı kuruluş uluslararası sağlık turizm kapsam yap olduk faaliyet ilgili olarak yönetmelik yer alan husus 663 sayılı kanun hüküm kararname nci madde ikinci fıkra bent uygunluk yön ushaş tarafından ğerlendirilir dari yapt,MADDE 5,0.112,Yeni Madde
MADDE 16,yönetmelik belirtilen usul esas uymayan hakkında yer alan idari yaptırım uygulan yapılan denetim esnasında sağlık turist tedavi olumsuz etkileyen hiz metin devam hali sağlık güvenlik tehlike sokan hizmet gecikmeksizin dur durulma gerektiren acil telafi güç durum ortay çıktık tespit hali yetki belge durum ortada kalkınca kadar sağlık tesis bakanlık aracı kuruluş ushaş tarafından askı alın sağlık tesis aracı kuruluş kayıt incelenme sonuç kayıt uygun suz olarak tutulduk tespit edilme durum yetki belge altı süre askı alın aynı fiilî bir yıl içinde tekrarlanma hali yetki belge iptal edil son bir yıl içinde sağlık turizm kapsam faaliyet göstermeyen sağlık tesis aracı kuruluş yetki belge iptal edil yetki belge iptal edilen kuruluş bir yıl süre yeni yetki belge düzenlen mez yürürlük kaldırılan yönetmelik,MADDE 1,0.12,Yeni Madde
MADDE 17,2017 tarihli 30123 sayılı resm gazete yayımlanan ulus lararası sağlık turizm turist sağlık hakkında yönetmelik yürürlük kaldırıl mevcut sağlık tesis aracı kuruluş uyum geç,MADDE 4,0.09,Yeni Madde
MADDE 1,yönetmelik yürürlük girdik tarih ön sağlık rizmi yetki belge al sağlık tesis aracı kuruluş yönetmelik yürürlük girdik tarih itibaren altı içinde yönetmelik hüküm uyum sağlamak zorun re sonunda uyum sağlamayan yetki belge iptal edil sağlık tesis ncı madde birinci fıkra bent yer alan yükümlülük 2025 tarihî kadar sağ sağlık tesis ncı madde birinci fıkra bent yer alan yükümlülük 2026 tarihî kadar sağ yürürlük,MADDE 4,0.221,Yeni Madde
MADDE 18,yönetmelik yayım tarihî yürürlük gir yürüt,MADDE 4,0.931,Benzer
