Yeni Madde No,Yeni Madde İçeriği,Eşleşen Eski Madde,Benzerlik,Durum
MADDE 27,hukuk hizmetleri birimi doğrudan mill eğitim müdürüne bağlı olup hukuk hizmetleri genel müdürlüğünün görev alanına ilişkin hizmetleri muhakemat hiz metleri hukuk danışmanlığına ilişkin türlü işlemi ilgili mevzuat hükümlerin göre yürütür hukuk hizmetleri birimi avukatlar diğer personelden oluşur birden fazla avukatın görev yaptığı mill eğitim müdürlüklerind mill eğitim müdürünün teklifi bakanlık onayı avukatlardan hukuk hizmetleri biriminin sevk idaresinden sorumlu olmak üzere hukuk hizmetleri yetkilisi olarak görevlendirilir bir avukatın görev yaptığı mill eğitim müdürlüklerind avukat hukuk hizmetleri yetkilisi yetkisini haizdir hukuk hizmetleri biriminin çalışma usul esasları personelinin görev yetki sorumlulukları bakanlıkça belirlenir bilgi işlem birimi,MADDE 1,0.065,Yeni Madde
MADDE 28,bilgi işlem birimi doğrudan mill eğitim müdürüne bağlı olup revleri şunlardır bilgi şlem genel müdürlüğünün görev alanına ilişkin hizmetleri yürütmek bilişim hizmetlerin ilişkin işlemleri ilgili mevzuat hükümleri kapsamında rütmek mill eğitim müdürlüğü bünyesindeki sınav merkezlerinin sistem odalarının güvenlik bakım kontrol çalışmalarını yürütmek mebbi uygulamaları bilişim altyapı hizmetleri konularındaki çalışmaları rütmek yönetmek bunlara ilişkin teknik çalışmaları yapmak bilgi işlem birimleri ihtiyaca göre mebbi yöneticisi olarak görevlendirilen per sonel mühendi programcı çözümleyici teknisyen teknik bilgisayar işletmeni veri zırlama kontrol işletmeni büro person memur ünvanlarında görev yapacak personelden oluşur bilgi işlem birimlerind bakanlık bilişim otomasyon sistemleri üzerind problem çözme rehberlik danışmanlık teknik işleri yürütmek üzere bakanlık tarafından mebbi yöneticisi görevlendirilir mebbi yöneticisi bilgi işlem biriminin sevk idaresinden rumlu birim yetkilisi olarak görev yapar sayfa resm gazet nisan 2025 sayı 32882 birden fazla mebbi yöneticisinin olduğu bilgi işlem birimind mill eğitim müdürü tarafından mebbi yöneticileri arasından birimin sevk idaresinden sorumlu olmak üzere koordinatör olarak seçilir bilgi işlem birimi uhdesindeki hizmetleri yürütmek üzere ilç mill eğitim müdür lüklerind ilç mill eğitim müdürüne bağlı bilgi işlem bürosu oluşturulur bilgi işlem biriminin bilgi işlem bürosunun çalışma usul esasları person linin görev yetki sorumlulukları bakanlıkça belirlenir sivil savunma hizmetleri birimi,MADDE 1,0.046,Yeni Madde
MADDE 29,sivil savunma hizmetleri birimi doğrudan mill eğitim müdürüne bağlı olup 1958 tarihli 7126 sayılı sivil savunma kanunu ilgili mevzuat hükümleri kapsamında sivil savunma hizmetlerini yürütür sivil savunma hizmetleri birimi sivil savunma uzmanları diğer personelden olu şur birden fazla sivil savunma uzmanı bulunan mill eğitim müdürlüklerind sivil savunma uzmanlarından sevk idaresinden sorumlu olmak üzere mill eğitim müdürü tarafından birim yetkilisi olarak görevlendirilir lçe mill eğitim müdürlüklerind sivil savunma hizmetleri destek hizmetleri şubesi tarafından yürütülür şyeri sağlık güvenlik birimi,MADDE 1,0.031,Yeni Madde
MADDE 30,şyeri sağlık güvenlik birimi doğrudan mill eğitim müdürüne bağlı olup görevleri şunlardır mill eğitim müdürlüğü okul kurum çalışanlarının sağlığı güvenliği hiz metlerinin koordinasyonunu sağlamak 2012 tarihli 6331 sayılı sağlığı güvenliği kanunu ilgili mevzuat hükümleri kapsamında sağlığı güvenliği hizmetlerini yürütmek okul sağlığı okul güvenliği afet acil durumlar iklim değişikliği çevr atık yönetimin ilişkin hizmetlerin yürütülmesini sağlamak şyeri sağlık güvenlik birimi güvenliği uzmanı diğer personelden oluşur güvenliği uzmanı biriminin sevk idaresinden sorumlu birim yetkilisi olarak görev yapar şyeri sağlık güvenlik birimi uhdesindeki hizmetleri yürütmek üzere ilç mill eğitim müdürlüklerind ilç mill eğitim müdürüne bağlı sağlığı güvenliği bürosu oluş turulur şyeri sağlık güvenlik birimi sağlığı güvenliği bürosunun çalışma usul esasları personelinin görev yetki sorumlulukları bakanlıkça belirlenir eğitim öğretim hizmetlerind ortak görevler,MADDE 21,0.037,Yeni Madde
MADDE 31,şube müdürlükleri biriml bürolar tarafından yürütülecek ortak görevler aşağıda belirtilmiştir eğitim öğretimi geliştirmey yönelik görevler şunlardır eğitim öğretim programlarının uygulanmasını sağlamak der kitapları öğretim materyalleri eğitim araç gereçlerin ilişkin işlemleri rütmek etkin kullanımlarını sağlamak eğitimd fırsat eşitliğini sağlamak eğitim erişimi teşvik edecek artıracak çalışmalar yapmak eğitim hizmetlerinin yürütülmesind verimliliği sağlamak eğitim kurumları öğrenciler kursiyerler yönelik araştırma geliştirm saha çalışmaları yapmak nisan 2025 sayı 32882 resm gazet sayfa eğitim moral ortamını okul kurum kültürünü öğrenm süreçlerini geliştirmek eğitim ilişkin projel geliştirmek uygulamak sonuçlarından yararlanmak ulus uluslararası araştırma projeleri takip etmek sonuçlarından yararlan mak kamu özel sektör eğitim paydaşlarıyla birliği içind gerekli işlemleri yürütmek eğitim hizmetlerinin geliştirilmesi amacıyla bakanlığa tekliflerd bulunmak etkili öğrenci kursiy merkezli eğitimi geliştirmek iyi uygulamaları teşvik etmek desteklem yetiştirm kurslarının işlemlerini takip etmek salgın olağanüstü durumlar zaruri llerd ilgili mevzuat hükümleri kapsa mında gerekli tedbirleri alarak eğitim öğretim hizmetlerinin devamlılığını sağlamak eğitim kurumlarına yönelik görevler şunlardır eğitim kurumlarının bina eklenti derslik ihtiyaçlarını tespit etmek fiziki nları geliştirmey yönelik çalışmalar yapmak eğitim kurumlarının açma kapatma isim verilmesin ilişkin işlemleri rütmek öğrenciler pansiyon hizmeti sunulan eğitim kurumlarında pansiyon hizmetlerinin geliştirilmesin yönelik çalışmalar yapmak hizmetin yürütülmesini sağlamak eğitim kurumları arasında birliğini sağlamak eğitim kurumlarının idari kapasit yönetim kalitesinin geliştirilmesini sağlamak eğitim kurumlarının hizmet verimlilik donatım standartlarını uygulamak yerel ihtiyaçlara göre belirlenen çerçeved standartlar geliştirmek uygulamak eğitim kurumlarındaki iyi uygulama örneklerini teşvik etmek yaygınlaşmasını sağ lamak eğitim kurumları arasında imk fırsat eşitliğini sağlamaya yönelik tedbirl mak belirli gün haftalar ilgili kutlama anma programlarının hazırlanmasını gulanmasını sağlamak öğrenci velileri diğer tarafların eğitim desteklerini sağlayıcı faaliyetl yap mak öğrenciler yönelik görevler şunlardır rehberlik psikolojik danışma hizmetlerini yöneltm çalışmalarını planlamak yürütülmesini sağlamak bireysel izlem değerlendirm yöntemleri öğrencilerin yönlendirilmesin nelik rehberlik çalışmalarının yapılmasını sağlamak öğrencilerin eğitim kurumlarına aidiyet duygusunu geliştirmey yönelik çalışmalar yapmak yaptırmak sonuçlarını raporlaştırmak öğrencilerin kayıt kabul nakil kontenjan ödül disiplin başarı değerlendirm işlemlerinin yürütülmesini sağlamak öğrencilerin devamsızlık okul terklerini azaltıcı çalışmalar yapmak öğrencilerin yatılılık burslulukla ilgili işlemlerini yürütmek öğrencilerin ulus uluslararası sosyal kültürel sportif etkinlikleri yarış malara ilişkin işlemlerini ilgili mevzuat hükümleri kapsamında yürütmek öğrencilerin okul başarısını artıracak çalışmalar yapmak yaptırmak öğrencilerin eğitim sistemi içind kalmasını sağlayacak tedbirl almak yurt dışında eğitim alan öğrencilerl ilgili işlemleri yürütmek sayfa resm gazet nisan 2025 sayı 32882 öğrencilerin okul dışı etkinliklerin ilişkin çalışmalar yapmak yaptırmak sporcu öğrenciler yönelik hizmetleri planlamak yürütülmesini sağlamak okul sağlığı afet acil durum çevr atık yönetimin ilişkin hizmetlerin rütülmesind gerekli desteği sağlamak eğitim tedbiri kararı alınan çocukların eğitim süreçleri ilgili işlemleri rütmek öğrenci taşıma uygulaması kapsamındaki öğrencilerin eğitim erişimleri rekli desteği sağlamak mevsimlik tarım işçileri göçer yarı göçer ailelerin çocuklarının eğitim eri şimin yönelik çalışmalar yapmak tam zamanlı kaynaştırma bütünleştirm yoluyla eğitim uygulamalarının destek eğitim odaları özel eğitim sınıflarında sürdürülen eğitim hizmetlerinin yürütülmesini sağ lamak zleme değerlendirm raporlamaya yönelik görevler şunlardır eğitim kurumu yöneticilerinin performanslarını izlemek değerlendirmek eğitim öğretim programlarının uygulanmasını izlemek değerlendirmek öğrencilerin kursiyerlerin kayıt nakil devam başarı durumlarını izlemek ğerlendirmek devamsızlık okul terki riski altındaki öğrenciler ilişkin incelem araştırmalar yapmak izlemek değerlendirmek uzaktan eğitim platformlarında yapılan eğitim öğretim faaliyetlerini izlemek ğerlendirmek öğrencilerin kursiyerlerin temel becerilerini akademik başarılarını izlemek ğerlendirmek eğitim öğretim hizmetlerin ilişkin istatistiki verileri oluşturmak izlemek değer lendirmek okul kurumların fiziki yeterliliklerini izlemek değerlendirmek okul kurumların elektronik sistemlerdeki verilerinin güncel doğru olmasını sağlamak zleme değerlendirm faaliyetleri sonucunda raporlama işlemlerini yürütmek bakanlığa göndermek birinci fıkradaki görevler gerektiğind şubel biriml bürolar arası koordinasyon kurularak yürütülebilir ilç personelinin görevleri bölümü,MADDE 1,0.084,Yeni Madde
MADDE 32,mill eğitim müdürü bakanlığın eğitim politikaları stratejik plan larını mevzuat programlar doğrultusunda yönetmek yönlendirmek denetlemek koordin ederek etkin verimli bir şekild yerin getirmek görevli sorumludur mill eğitim dürü görevini ilç yöneticileri arasında yapacağı bölümü çerçevesind yürütür lgili mevzuat bakanlıkça belirlenen usul esaslar çerçevesind hizmetlerin etkin verimli olarak yürütülmesini sağlamak amacıyla personelin görev yetki sorumlulukları mill eğitim müdürü tarafından belirlenir mill eğitim müdürü sağlığı güvenliği hizmetlerinin yürütülmesinden işveren olarak sorumludur mill eğitim müdürü işveren vekili olarak mill eğitim müdür yardım cısını ilç mill eğitim müdürü işveren vekili olarak ilç mill eğitim şube müdürünü görev lendirir şveren işveren vekili sağlığı güvenliği hizmetlerini sevk idar eder hizmet lerin yerin getirilmesini gerekli tedbirlerin alınmasını sağlar nisan 2025 sayı 32882 resm gazet sayfa mill eğitim müdür yardımcısı sorumluluğuna verilen görevleri yapmak mill eğitim müdürlüğü adına toplantılara katılmak yazışmaları belgeleri mill eğitim müdürü adına imza yetkisi kapsamında imzalamak mill eğitim müdürüne vek let etmekl görevli sorumludur şube müdürü sorumluluğuna verilen hizmetleri yürütmek mill eğitim müdürlüğü adına toplantılara katılmak uhdesindeki şubelerl ilgili yazışmaları belgeleri mill eğitim müdürü adına imza yetkisi kapsamında imzalamak ilç mill eğitim müdürüne vek let etmekl görevli sorumludur tesi müdürü tesislerl ilgili mill eğitim müdürünün vereceği görevleri ilgili mev zuat hükümleri kapsamında yürütür birimlerin sevk idaresi yetkilendirilenl sorumluluklarına verilen hizmetleri yürütmek hizmetler ilişkin konularda mill eğitim müdürü adına toplantılara katılmakla imza yetkisi kapsamında yazışmaları imzalamakla görevli sorumludur şef personel arasındaki koordinasyonu sağlayarak şube müdürlükleri birimlerin işlemlerini etkin verimli şekild yürütmekl görevli sorumludur mill eğitim müdürlüklerind görev yapan diğer personel kendisin verilen görev lerin mevzuata uygun olarak hızlı etkin verimli bir şekild yürütülmesinden amirlerin karşı sorumludur şube müdürlükleri biriml bürolar yönetmelikl uhdelerin verilen görev lerin yanında mill eğitim müdürü tarafından verilen diğer görevleri yapmakla sorumludur üçüncü bölüm kurullar komisyonlar görevleri kurullar,MADDE 1,0.069,Yeni Madde
MADDE 33,mill eğitim müdürlüklerind 2021 tarihli 3935 sayılı cum hurbaşkanı kararı yürürlüğe konulan devlet memurları disiplin yönetmeliği hükümlerin göre mill eğitim disiplin kurulu oluşturulur mill eğitim müdürlüklerind elli fazla çalışan bulunması halind 2013 tarihli 28532 sayılı resm gazet yayımlanan sağlığı güvenliği kurulları hakkında yönetmelik hükümlerin göre sağlığı güvenliği kurulu oluşturulur ilç mill eğitim komisyonu,MADDE 1,0.111,Yeni Madde
MADDE 34,mill eğitim komisyonu mill eğitim müdürünün başkanlığında eğitim müfettişleri başkanı mill eğitim müdürünce görevlendirilecek bir mill eğitim dür yardımcısı bir şube müdürü merkezind bulunan fazla öğrencisi olan okul öncesi ilkokul ortaokul ortaöğretim hayat boyu öğrenm eğitim kurumlarının müdürleri bun ların öğretmenl kurulunca seçilecek birer öğretmen rehberlik araştırma merkezi müdürü köyde kırsal mahalled çalışan öğretmen fazla öğrencisi olan özel okul öncesi özel ilkokul özel ortaokul özel ortaöğretim kurumlarının müdürleri bunların öğretmenl rulunca seçilecek birer öğretmen ild faaliyet gösteren mill eğitim müdürünce belirlenecek diğer özel öğretim kurumlarından öğrencisi kursiyeri fazla olan iki farklı kurum türünün müdüründen oluşur seçiml belirlenen üyeler öğretim yılı eylül ayında belirlenir üyeliği sona erenl yeni üye seçilincey kadar görevlerin devam eder mill eğitim komisyonunun görevleri şunlardır mill eğitim müdürlüklerinc alınan kararlar doğrultusunda somut uygulanabilir eğitim öğretim faaliyetlerini planlar önerilerd bulunur lçe mill eğitim komisyonunca alınan karar yapılan önerilerden uygun görülen lerin düzeyind uygulanmasını sağlar sayfa resm gazet nisan 2025 sayı 32882 bakanlıkça mill eğitim müdürünce münhasıran birimlerl birliği incelenmesi istenen konularda çalışmalar yapar uygulamaya esa politikalar geliştirir rarlar alır lçe mill eğitim komisyonu ilç mill eğitim müdürünün başkanlığında ilç mill eğitim müdürünce görevlendirilecek bir şube müdürü fazla öğrencisi olan okul öncesi ilkokul ortaokul ortaöğretim hayat boyu öğrenm eğitim kurumlarının müdürleri bun ların öğretmenl kurulunca seçilecek birer öğretmen rehberlik araştırma merkezi müdürü köyde kırsal mahalled çalışan öğretmen fazla öğrencisi olan özel okul öncesi özel ilkokul özel ortaokul özel ortaöğretim kurumlarının müdürleri bunların öğretmenl rulunca seçilecek birer öğretmen ilçed faaliyet gösteren ilç mill eğitim müdürünce belirl necek diğer özel öğretim kurumlarından öğrencisi kursiyeri fazla olan iki farklı kurum rünün müdüründen oluşur lçe mill eğitim komisyonunun görevleri şunlardır mill eğitim müdürlüklerinc alınan gereği bildirilen kararlar hakkında mut uygulanabilir programları hazırlar önerilerd bulunur bakanlığın mill eğitim müdürünün ilç mill eğitim müdürünün münhasıran birimlerl birliği içind incelenmesini istediği konularda çalışmalar yapar uygulamaya esa politikalar geliştirir kararlar alır komisyonlar ilç mill eğitim müdürünün çağrısı üzerin öğretim yılı başında diğeri öğretim yılı sonunda olmak üzere iki üye tam sayısının çoğunluğu toplanır çokluğu karar alır komisyonların toplantı gündemi ilç mill eğitim müdürlerinc tespit edilir toplantı gününden gün önce üyeler gönderilir lde valinin ilçed kay makamın görüşülmesini istediği konular süre içind komisyonun gündemin ilav edilir komisyon kararlarından ilgili mevzuat hükümleri kapsamında uygulanabilecek olanlar mill eğitim müdürünün teklifi valinin onayı üzerin uygulamaya konulur mevzuat değişikliği yapılmasını gerektiren konular bakanlığın ilgili birimin bildirilir komisyonlar üyelerinden birim personelinden çalışma grupları oluşturabilir çalışmalarında birimlerden türlü bilgi belgeyi isteyebilir biriml komisyonların verdiği görevleri gecikmeksizin yerin getirmek zorundadır dördüncü bölüm çeşitli son hükümler özel büro,MADDE 21,0.099,Yeni Madde
MADDE 35,mill eğitim müdürleri tarafından yürütülen hizmetlerin koordina yonunu sağlamak üzere doğrudan mill eğitim müdürüne bağlı yeterli sayıda personelden olu şan özel büro oluşturulabilir özel büroların görevleri şunlardır mill eğitim müdürünün çalışma takvimini talimatı doğrultusunda oluşturmak mill eğitim müdürünün toplantıları ziyaretleri ilgili planlamayı yaparak gerekli işlemlerinin yürütülmesini sağlamak mill eğitim müdürünün sekretarya hizmetlerini yürütmek yürürlükten kaldırılan yönetmelik,MADDE 1,0.052,Yeni Madde
MADDE 36,2012 tarihli 28471 sayılı resm gazet yayımlanan mill eğitim bakanlığı lçe mill eğitim müdürlükleri yönetmeliği yürürlükten kaldırılmıştır kurul komisyon üyeleri geçi,MADDE 1,0.229,Yeni Madde
MADDE 1,yönetmelikt belirtilen kurul komisyonların mevcut üyeleri yeni üyeler görevin başlayıncaya kadar görevlerin devam eder yürürlük,MADDE 3,0.032,Yeni Madde
MADDE 37,yönetmelik yayımı tarihind yürürlüğe girer yürütme,MADDE 4,0.91,Benzer
MADDE 38,yönetmelik hükümlerini mill eğitim bakanı yürütür nisan 2025 sayı 32882 resm gazet sayfa sağlık bakanlığından uluslararasi sağlik turi zmi turi sti sağliği hakkinda yönetm nci bölüm başlangıç hükümleri amaç,MADDE 5,0.189,Yeni Madde
MADDE 1,yönetmeliğin amacı uluslararası sağlık turizmi turistin sağlığı kapsamında sunulan sağlık hizmetleri aracılık hizmetlerinin asgari hizmet sunum standart larının belirlenmesi uluslararası sağlık turizmi hizmetlerind faaliyet yürütecek sağlık kuru luşları aracı kuruluşların yetkilendirilmesi faaliyetlerin denetlenmesin ilişkin usul esasları düzenlemektir kapsam,MADDE 2,0.048,Yeni Madde
MADDE 2,yönetmelik 2006 tarihli 5510 sayılı sosyal sigortalar genel sağlık sigortası kanunu milletlerarası ikili mütekabiliyet anlaşmaları kapsamına gir meyen ancak yurt dışından sağlık hizmeti almak amacıyla ülkemiz gelenl turist olarak ülkemizd bulunduğu sırada sağlık hizmeti ihtiyacı ortaya çıkan kişil kişiler sağlık hizmeti sunan kamu kurum kuruluşları üniversitel özel sağlık kuruluşları aracı kuru luşları kapsar aşağıdaki durumlar yönetmelik kapsamında yer almaz savaş afet benzeri olağanüstü durumlarda cumhurbaşkanı kararı belirlenen ülkelerden türkiy bulundukları sürede sağlık hizmeti alan ülkelerden sivil toplum kuruluşları tarafından tedavi amacıyla getirilerek tedavi bede ödenen yabancı hasta yara lılar bakanlık türk şbirliği koordinasyon ajansı başkanlığı yurtdışı türkler akraba topluluklar başkanlığı tarafından uygun görülen sivil toplum kuruluşları aracılığıyla balkanlardan türk cumhuriyetlerinden ülkemiz tedavi amaçlı getirilen hastalar türk şbirliği koordinasyon ajansı başkanlığı tarafından getirilen hastalar türkiy cumhuriyeti nin imzalamış olduğu uluslararası anlaşma uyarınca sosyal venlik sözleşmeleri kapsamında sağlık yardımı alma hakkı olan ülke vatandaşları türkiy cumhuriyeti vatandaşlarını ülkemiz sağlık alanında milletlerarası ikili işbirliği anlaşması kapsamında tedavi gelenl ülkemizd öğrenim görmek öğrenci ikamet izni alanlar bunların eğitimleri süresinc bakmakla yükümlü oldukları yakınları ail ikamet izni alanlar geçici koruma altındaki yabancılar uluslararası koruma statüsü alanlar vatansız kişi statüsünd olanlar 2009 tarihli 5901 sayılı türk vatandaşlığı kanununun inci üncü maddesi kapsamında bulunanlar türk soylu olduğuna dair belg ibraz eden türk soylu yabancılar adli vaka kapsamında kolluk kuvvetlerinc getirilerek acil sağlık hizmeti alan bancılar kinci fıkrada yer alan kişil kendi isteği uluslararası sağlık turizmi kapsamında ücret ödemeyi taahhüt etmesi durumunda yönetmelik kapsamında uluslararası sağlık turizmi hizmeti alabilir dayanak,MADDE 1,0.048,Yeni Madde
MADDE 3,yönetmelik 1987 tarihli 3359 sayılı sağlık hizmetleri temel kanununun uncu maddesinin bendin inci uncu maddelerin 2011 tarihli 663 sayılı sağlık alanında düzenlemel hakkında kanun hükmünde karar namenin nci maddesin sayılı cumhurbaşkanlığı teşkilatı hakkında cumhurbaşkan lığı kararnamesinin 355 inci 508 inci maddelerin dayanılarak hazırlanmıştır sayfa resm gazet nisan 2025 sayı 32882 tanımlar,MADDE 2,0.129,Yeni Madde
MADDE 4,yönetmelikt geçen aracı kuruluş uluslararası sağlık turisti beraberindeki refakatçi diğer yakın larına uluslararası sağlık turizmi hizmetleri kapsamında danışmanlık yapan sağlık tesisi orga nizasyonu konaklama ulaşım transfer hizmetlerinin sağlanması faaliyetlerini yürüten yetki belg tüzel kişilerc işletilen kuruluşu bakanlık sağlık bakanlığını eki sağlık bakanlığı entegr kurums şlem platformunu healthtürkiy türkiy nin sağlık hizmet sunumunun uluslararası alanda tanıtımını sağlayan sağlık turizmi markasını portal bakanlıkça uluslararası sağlık turizmi faaliyetlerinin kayıt takip denetim gözetimi amacıyla healthtürkiy adıyla kurulmuş internet portalını sağlık tesisi özel mevzuatı uyarınca sağlık tesisi ruhsatına sahip olan bakanlıkça yetki belgesi verilen kamu kurum kuruluşlarına üniversiteler gerçek özel hukuk tüzel kişilerin ait sağlık tesisini sertifika tüska tarafından sağlık turizmi alanında oluşturulan standartlar esa alı narak bakanlıkça düzenlenen belgeyi turistin sağlığı ülkemizd herhangi bir nedenl geçici süreli olarak bulunan yaban cıların ülkemizd bulundukları sırada ani gelişen hastalıklarda acil durumlarda sağlık hiz meti almasını tüska türkiy sağlık hizmetleri kalit akreditasyon enstitüsünü uluslararası sağlık turisti uluslararası sağlık turizmi turistin sağlığı kapsamında sağlık hizmeti alan gerçek kişiyi uluslararası sağlık turizmi sağlık amaçlı yurt dışından ülkemiz geçici bir süreliğin gelen türkiy cumhuriyeti vatandaşı olmayan türkiy cumhuriyeti vatandaşı olmakla birlikt yurt dışında ikamet eden gerçek kişilerin aldıkları türlü sağlık hizmeti aracılık hizmetlerini ushaş uluslararası sağlık hizmetleri anonim şirketini yabancı türkiy cumhuriyeti devleti vatandaşlık bağı bulunmayan kişiyi yetki belgesi uluslararası sağlık turizmi yetki belgesini ifad eder nci bölüm uluslararası sağlık turizmi yetki belgesi,MADDE 1,0.042,Yeni Madde
MADDE 5,sağlık tesisi aracı kuruluşların uluslararası sağlık turizmi hizmetl rind faaliyet yürütebilmesi yetki belgesi alması zorunludur yetki belgesi sağlık tesisi bakanlık aracı kuruluş ushaş tarafından düzenlenir sağlık tesisi yetki belgesi başvurusu yer alan başvuru evrakları birlikt eki üzerinden yapılır ilç sağlık müdürlüğü tarafından başvuru üzerin aşağıdaki işleml gerçekleştirilir başvuru evrakları incelenir incelem sonucunda başvuru evraklarında eksiklik kriterler uygunsuzluk tespit edilmesi lind günü içind başvurucuya bildirilir başvuru evraklarında eksiklik uygunsuzluk bulunduğu bildirilen başvurucunun günü içind eksikliklerini tamamlayamaması halind başvurusu reddedilmiş sayılır başvuru evraklarında eksiklik kriterler uygunsuzluk bulunmadığı anlaşılan başvurucu ilç sağlık müdürlüğünce oluşturulan incelem ekibi tarafından yerind incelenir yerind incelem neticesind uygunluğuna karar verilen başvurular günü içind bakanlığa gönderilir bakanlık tarafından uygun görülmesi halind günü içind bulunan yetki belgesi düzenlenir aracı kuruluş yetki belgesi başvurusu yer alan başvuru evrakları birlikt ushaş yapılır ushaş tarafından başvuru üzerin aşağıdaki işleml gerçekleşti rilir nisan 2025 sayı 32882 resm gazet sayfa başvuru evrakları incelenir incelem sonucunda başvuru evraklarında eksiklik kriterler uygunsuzluk tespit edilmesi lind günü içind başvurucuya bildirilir başvuru evraklarında eksiklik uygunsuzluk bulunduğu bildirilen başvurucunun günü içind eksikliklerini tamamlayamaması halind başvurusu reddedilmiş sayılır başvuru evraklarında eksiklik kriterler uygunsuzluk bulunmadığı anlaşılan başvurucu ushaş tarafından oluşturulan incelem ekibi tarafından yerind incelenir yerind incelem neticesind ushaş tarafından uygun görülmesi halind günü içind bulunan yetki belgesi düzenlenir aracı kuruluş sahibi tüzel kişi tarafından ikinci bir aracı kuruluş şube açılmak istenmesi durumunda bir aracı kuruluş şube yeni yetki belgesi alınması zorun ludur şekild yetkilendirilmeyen ikinci bir aracı kuruluş şubed sağlık turizmi faali yetleri yürütülemez uluslararası sağlık turizmi yetki belgesi devredilemez hizmet standartları,MADDE 1,0.088,Yeni Madde
MADDE 6,sağlık tesisi aşağıda belirlenen hizmet standartlarına uygun olarak faa liyet gösterir sağlık tesisi yönetmelik hükümlerin uygun olarak teşhi tedavi rehabilit edici sağlık hizmetleri geleneksel tamamlayıcı tıp uygulamaları hizmeti verir hastanel tıp merkezleri tıbbi laboratuvarlar diyaliz merkezlerinin tüska rafından akredit edilmiş olması bunların dışındaki sağlık tesislerinin bakanlıkça düzen lenen sertifikayı alması zorunludur uluslararası sağlık turizmi kapsamında ameliyathan ortamında yapılacak cerrahi girişimsel işleml sağlık tesisi tarafından komplikasyon sigortası yaptırılması zorun ludur sağlık tesisi aracı kuruluş vasıtası olmaksızın doğrudan başvuran uluslararası sağlık turistini kabul edebilir sağlık tesisi 2022 tarihli 31746 sayılı resm gazet yayımlanan uzaktan sağlık hizmetlerinin sunumu hakkında yönetmelik kapsamında uzaktan sağlık hizmeti vere bilir durumu portal üzerinden ilan eder sağlık tesisi aracı kuruluşça yerin getirilmesi gereken faaliyetlerd yetki belgesi olmayan kişi kuruluşlardan hizmet alamaz aracı kuruluş aşağıda belirlenen hizmet standartlarına uygun olarak faaliyet göste rir aracı kuruluşların konaklama ulaşım transfer hizmetlerini 1972 tarihli 1618 sayılı seyahat acentaları seyahat acentaları birliği kanunu kapsamında yetkili seyahat acentaları vasıtasıyla yerin getirmesi zorunludur hizmetl aracı kuruluşun yetkili seyahat acentası olması halind aracı kuruluş tarafından bizzat yürütülebilir aracı kuruluş gelen çağrıları karşılamak amacıyla iki yabancı dild gün saat esasına uygun olarak hizmet verebilecek bir alt yapıya sahip olmak alt yapıyı sağlayabilecek bir çağrı merkezi hizmet alımı sözleşmesi yapmak zorundadır uluslararası sağlık turizmi hizmetlerind görevlendirilen personel aynı anda ikiden fazla aracı kuruluşta çalışamaz uluslararası sağlık turistinin ülkemizd bulunduğu süre içind alacağı sağlık hizmeti aracılık hizmetlerinden sağlık tesisi aracı kuruluş sunulan hizmetin türüne bağlı olarak sorumludur sunulan sağlık hizmeti sonrası ortaya çıkabilecek komplikasyon tıbbi kötü gulamalar sorumluluk kapsamındadır sağlık tesisi aracı kuruluşlar sağlık turizmi alanında yapılan şikayetlerin ğerlendirilmesi suretiyl düzeltici önleyici faaliyet yapar gerekli iyileştirm faaliyetlerini yerin getirir sayfa resm gazet nisan 2025 sayı 32882 ushaş uluslararası sağlık turizmi alanında hizmet vermekt olan sağlık tesisi aracı kuruluşların tanıtım bilgilendirm faaliyetlerini healthtürkiy markası destekl ulus uluslararası kongr semin benzeri etkinlikler sağlık tesisi aracı kuruluşların katılımına rehberlik eder uluslararası sağlık turizmi birimi,MADDE 1,0.057,Yeni Madde
MADDE 7,sağlık tesisind uluslararası sağlık turistinin kabul kayıt teşhi tedavi faturalandırma taburculuk tercümanlık aracı kuruluşlarla ilgili işlemlerin koordinasyonu benzeri hizmetleri yerin getirmekl görevli uluslararası sağlık turizmi birimi oluşturulur uluslararası sağlık turizmi birimind çalışan personelin birinin yabancı dil bilmesi bunun belgelendirilmesi zorunludur uluslararası sağlık turizmi birimind çalışan personel bilgilerinin eki üzerinden ilç sağlık müdürlüğüne bildirilmesi zorunludur sağlık tesisin başvuran uluslararası sağlık turisti uluslararası sağlık turizmi birimind çalışan bir personel sorumlu personel olarak belirlenir uluslararası sağlık turisti belirlenmiş sorumlu personel bilgileri portala kaydedilir uluslararası sağlık turizmi birimind turistin sağlığı kapsamında bulunan kişil milletlerarası sosyal güvenlik sözleşmesi sağlık alanında milletlerarası ikili birliği laşmaları gereği sağlık hizmeti almak ülkemiz gelen kişiler yönlendirm rehberlik hizmetleri sunulur kayıt bildirim,MADDE 1,0.025,Yeni Madde
